id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id
gat_q1_pistes_cyclables,"La municipalité devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,1,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q10_augmentation_taxes,"La Ville de Gatineau devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,10,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q11_pouvoir_conseils_secteur,La Ville de Gatineau devrait donner plus de pouvoir aux conseils de secteur pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale dans les secteurs de Gatineau.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,11,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q12_reduction_dette,"La Ville de Gatineau devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,12,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q13_avantages_fiscaux_entreprises,La Ville de Gatineau devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,13,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q14_limitation_touristes,La Ville de Gatineau devrait limiter le nombre de touristes dans certains secteurs pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,14,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q15_soutien_organismes_communautaires,"La Ville de Gatineau devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,15,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q16_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les secteurs de Gatineau.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,16,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q17_investissement_infrastructures_loisirs_sportives,"La Ville de Gatineau devrait investir plus dans les parcs, arénas et terrains de sport de secteur.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,17,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q18_protection_patrimoine,"La Ville de Gatineau devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,18,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q19_services_bilingues,La municipalité devrait renforcer l'offre de services municipaux en français et en anglais pour répondre aux besoins de la population bilingue de Gatineau.,Gouvernance et services municipaux,agreement,"Cette question évalue l'importance accordée au bilinguisme dans les services municipaux, enjeu spécifique à Gatineau en raison de sa proximité avec Ottawa et sa population bilingue.",standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,19,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q2_priorite_mobilite_active,"Pour améliorer l'attractivité du centre-ville de Gatineau, la priorité devrait être donnée aux piétons, cyclistes et au transport collectif, même si cela implique de réduire l'espace dédié à l'automobile (stationnements, voies de circulation, etc.).",Mobilité et transport,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,2,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q20_coordination_ottawa,La Ville de Gatineau devrait développer davantage de partenariats et de projets conjoints avec la Ville d'Ottawa pour des enjeux interproviciaux.,Gouvernance et services municipaux,agreement,"Cette question évalue l'approche collaborative avec Ottawa pour les enjeux qui dépassent les frontières provinciales, spécifique à la région de la capitale nationale.",standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,20,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q21_transport_interprovincial,"La municipalité devrait investir davantage dans l'amélioration du transport interprovincial (ponts, traverse, transport en commun) entre Gatineau et Ottawa.",Mobilité et transport,agreement,"Cette question évalue la priorité accordée aux infrastructures de transport interprovincial, enjeu critique pour les nombreux travailleurs qui traversent quotidiennement entre le Québec et l'Ontario.",standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,21,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
gat_q22_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,priority,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,22,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,"[""Transport et mobilité"",""Logement abordable"",""Environnement et espaces verts"",""Sécurité publique"",""Gestion des finances municipales"",""Services municipaux"",""Lutte aux changements climatiques"",""Patrimoine et identité"",""Services bilingues"",""Relations avec Ottawa"",""Transport interprovincial""]",gatineau
gat_q3_quotas_logements_abordables,La Ville de Gatineau devrait obliger un nombre minimum de logements abordables dans chaque nouveau projet immobilier.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,3,2025-09-24 00:38:11.187436+00,2025-09-24 00:38:11.187436+00,,gatineau
