id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id,political_axis,political_weight,political_interpretation,score_inversion
lav_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,21,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,"[""Transport et mobilité"", ""Logement abordable"", ""Environnement et espaces verts"", ""Sécurité publique"", ""Gestion des finances municipales"", ""Services municipaux"", ""Lutte aux changements climatiques"", ""Patrimoine et identité"", ""Développement du SRB"", ""Transport vers Montréal""]",laval,neutral,1.00,neutral,false
lav_equilibre_developpement_espaces_verts,"Dans le développement de nouveaux projets résidentiels, la Ville de Laval devrait prioriser la préservation des espaces verts et des milieux naturels, même si cela limite les possibilités de densification.",Environnement et développement durable,agreement,Cette question évalue l'équilibre entre développement urbain et préservation environnementale face à la croissance démographique.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,2,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q_06_reduction_depenses,La Ville de Laval devrait réduire ses dépenses et ses taxes pour respecter la capacité de payer des citoyens.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la réduction de la charge fiscale municipale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,6,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,economic,1.10,free_market,false
lav_q_10_transition_ecologique,"La Ville de Laval devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,10,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q_12_taxes,"La Ville de Laval devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,12,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,economic,1.30,interventionist,true
lav_q_17_organismes,"La Ville de Laval devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,17,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q11_reduction_dechets,La Ville de Laval devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,11,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q13_pouvoir_conseils_quartier,La Ville de Laval devrait donner plus de pouvoir aux conseils de secteur pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,13,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q14_reduction_dette,"La Ville de Laval devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,14,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
lav_q15_avantages_fiscaux_entreprises,La Ville de Laval devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,15,2025-09-24 00:41:13.423656+00,2025-09-24 00:41:13.423656+00,,laval,neutral,1.00,neutral,false
