id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id,political_axis,political_weight,political_interpretation,score_inversion
mtl_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,22,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,"[""Transport et mobilité"", ""Logement abordable"", ""Environnement et espaces verts"", ""Sécurité publique"", ""Gestion des finances municipales"", ""Services municipaux"", ""Lutte aux changements climatiques"", ""Patrimoine et identité"", ""Extension du métro et REM"", ""Gestion des festivals et événements"", ""Coordination des arrondissements""]",montreal,neutral,1.00,neutral,false
mtl_q_12_taxes,"La Ville de Montréal devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,13,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,economic,1.50,interventionist,true
mtl_q10_transition_carboneutre,"La Ville de Montréal devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,11,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q11_reduction_dechets,La Ville de Montréal devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,12,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q13_pouvoir_conseils_quartier,La Ville de Montréal devrait donner plus de pouvoir aux conseils d'arrondissement pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,14,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q14_reduction_dette,"La Ville de Montréal devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,15,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q15_avantages_fiscaux_entreprises,La Ville de Montréal devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,16,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q16_limitation_touristes,La Ville de Montréal devrait limiter le nombre de touristes dans certains quartiers pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,17,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q17_soutien_organismes_communautaires,"La Ville de Montréal devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,18,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q18_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les arrondissements.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,19,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q19_investissement_infrastructures_loisirs_sportives,"La Ville de Montréal devrait investir plus dans les parcs, arénas et terrains de sport de quartier.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,20,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q2_pistes_cyclables,"La Ville de Montréal devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,4,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
mtl_q20_protection_patrimoine,"La Ville de Montréal devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,21,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal,neutral,1.00,neutral,false
