id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id,political_axis,political_weight,political_interpretation,score_inversion
q10_transition_carboneutre,"La Ville devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,10,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q11_reduction_dechets,La Ville devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,11,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q13_pouvoir_conseils_quartier,La Ville devrait donner plus de pouvoir aux conseils de quartier pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,13,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q14_reduction_dette,"La Ville devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,14,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q15_avantages_fiscaux_entreprises,La Ville devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,15,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q16_limitation_touristes,La Ville devrait limiter le nombre de touristes dans certains quartiers pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,16,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q18_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les quartiers.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,18,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q19_investissement_infrastructures_loisirs_sportives,"La Ville devrait investir plus dans les parcs, arénas et terrains de sport de quartier.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,19,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q2_pistes_cyclables,"La municipalité devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,2,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q20_protection_patrimoine,"La Ville devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,20,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q21_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,21,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,"[""Transport et mobilité"", ""Logement abordable"", ""Environnement et espaces verts"", ""Sécurité publique"", ""Gestion des finances municipales"", ""Services municipaux"", ""Projet de tramway"", ""Troisième lien routier"", ""Lutte aux changements climatiques"", ""Patrimoine et identité""]",quebec,neutral,1.00,neutral,false
q4_priorite_mobilite_active,"Pour améliorer l'attractivité du centre-ville, la priorité devrait être donnée aux piétons, cyclistes et au transport collectif, même si cela implique de réduire l'espace dédié à l'automobile (stationnements, voies de circulation, etc.).",Mobilité et transport,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,4,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q7_immeubles_grande_hauteur,Les immeubles de grande hauteur devraient être favorisés pour maximiser l'utilisation des terrains disponibles.,Habitation et aménagement urbain,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,7,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q8_interdire_essence_centre_ville,La Ville devrait interdire les véhicules à essence dans le centre-ville d'ici 2035.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux mesures environnementales radicales en mobilité urbaine.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,8,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
q9_protection_espaces_verts,"La Ville devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.",Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux espaces verts face à la pression immobilière.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,9,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,neutral,1.00,neutral,false
qc_q_01_tramway,"La municipalité devrait investir davantage dans le projet de tramway, même si cela implique une hausse des taxes municipales.",Mobilité et transport,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,1,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec,social,1.50,progressive,false
