No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"boussole électorale",27100,"$0.00",1,26
2,"boussole électorale 2025",8100,"$0.94",1,32
3,"boussole électorale canada",1300,"$0.00",1,41
4,"boussole électorale jeunesse",1300,"$0.00",1,24
5,"boussole électorale québec",260,"$0.00",1,23
6,"boussole electorales",27100,"$0.00",1,26
7,"bruno marchand",4400,"$0,00",1,23
8,"bruno marchand tramway",590,"$0,00",1,14
9,"denis coderre",12100,"$0,00",1,20
10,"élection municipale 2025",1600,"$1.31",1,32
11,"élections municipales 2025",1900,"$0.00",1,24
12,"élections municipales 2025 date",1000,"$0.00",1,23
13,"élections municipales montréal 2025",590,"$0.00",1,26
14,"élections municipales québec 2025",480,"$0,00",1,38
15,"élections municipales québec 2025 date",590,"$0,00",1,32
16,"élections municipales québec 2025 date",590,"$0.00",1,33
17,"la boussole électorale",2900,"$0.00",1,23
18,"la boussole électorale 2025",480,"$0.00",1,24
19,"maire de levis",110,"$0.00",1,13
20,"maire de montreal nord",110,"$0.00",1,5
21,"maire de québec",1900,"$0,00",1,38
22,"maire gatineau",1000,"$0.00",1,22
23,"maire quebec",320,"$0.00",1,18
24,"maire sherbrooke",320,"$0.00",1,18
25,"mairie de québec",1900,"$0,00",1,25
26,"partie politique quebec",880,"$0.00",1,13
27,"partis politiques québec",880,"$0,00",1,32
28,"politique gauche droite",590,"$0.00",1,13
29,"québec tramway",1900,"$0,00",1,39
30,"régis labeaume",590,"$0.00",1,23
31,"tramway montreal",880,"$0,00",1,44
32,"tramway quebec",1900,"$2,03",1,37
33,"troisième lien",1000,"$0,00",1,41
